"Site.ID","Year","MYLU","Visits_t","MYLU_lambda","MYLU_LLambda"
"1","2012",808,1,NA,NA
"1","2013",150,1,0.185643564356436,-0.731320101718905
"1","2014",689,1,4.59333333333333,0.662127962851945
"1","2015",421,1,0.611030478955007,-0.213937126071958
"1","2016",236,1,0.560570071258907,-0.251370092865562
"1","2018",337,1,1.42796610169492,0.154717897901232
"2","2012",99,1,NA,NA
"2","2013",84,1,0.848484848484849,-0.0713559085356682
"2","2014",64,1,0.761904761904762,-0.118099312077995
"2","2015",126,1,1.96875,0.294190571133676
"2","2016",103,1,0.817460317460317,-0.0875333204123907
"2","2017",121,1,1.1747572815534,0.0699481456112779
"3","2011",75,1,NA,NA
"3","2012",165,1,2.2,0.342422680822206
"3","2013",231,2,1.4,0.146128035678238
"3","2014",328,1,1.41991341991342,0.152261863819535
"3","2015",316,1,0.963414634146341,-0.0161867610932753
"3","2016",674,1,2.13291139240506,0.328972813916916
"3","2017",12,1,0.0178041543026706,-1.74947865048769
"3","2018",0,1,0.0416666666666667,-1.38021124171161
"4","2012",127,1,NA,NA
"4","2013",135,1,1.06299212598425,0.0265300475390493
"4","2014",170,1,1.25925925925926,0.100115152883268
"4","2015",189,1,1.11176470588235,0.0460128827949702
"4","2016",94,1,0.497354497354497,-0.303333950573546
"4","2017",2,1,0.0212765957446809,-1.67209785793572
"4","2018",10,1,5,NA
"5","2011",52,1,NA,NA
"5","2012",68,1,1.30769230769231,0.116505569071437
"5","2013",104,1,1.52941176470588,0.184524426592544
"5","2014",64,1,0.615384615384615,-0.210853365314893
"5","2015",94,1,1.46875,0.166947879615811
"5","2016",99,1,1.0531914893617,0.0225073409978512
"5","2017",74,1,0.747474747474748,-0.126403474866574
"5","2018",3,1,0.0405405405405405,-1.39211046501131
"6","2011",19,1,NA,NA
"6","2012",9,1,0.473684210526316,-0.324511091513504
"6","2013",24,1,2.66666666666667,NA
"6","2014",22,1,0.916666666666667,-0.0377885608893998
"6","2015",22,1,1,0
"6","2016",16,1,0.727272727272727,-0.138302698166281
"7","2011",14,1,NA,NA
"7","2012",27,1,1.92857142857143,0.285235728480749
"7","2013",24,1,0.888888888888889,-0.0511525224473813
"7","2014",24,1,1,0
"7","2015",19,1,0.791666666666667,-0.101457640758777
"7","2016",15,1,0.789473684210526,-0.102662341897148
"7","2017",5,1,0.333333333333333,-0.477121254719662
"7","2018",0,1,0.1,NA
"8","2011",26,1,NA,NA
"8","2012",31,1,1.19230769230769,0.0763883458634547
"8","2013",5,2,0.161290322580645,-0.792391689498254
"8","2014",15,2,3,NA
"8","2015",2,1,0.133333333333333,-0.8750612633917
"8","2017",1,1,0.5,NA
"8","2018",0,1,0.5,NA
"9","2012",11,1,NA,NA
"9","2013",8,1,0.727272727272727,-0.138302698166281
"9","2014",33,1,4.125,NA
"9","2015",66,1,2,0.301029995663981
"9","2016",30,1,0.454545454545455,-0.342422680822206
"9","2017",0,2,0.0166666666666667,-1.77815125038364
"9","2018",0,2,NA,NA
"10","2011",0,1,NA,NA
"10","2012",0,1,NA,NA
"10","2013",1,1,Inf,NA
"11","2011",1,1,NA,NA
"11","2012",4,1,4,NA
"11","2013",2,1,0.5,NA
"11","2014",3,1,1.5,NA
"11","2015",4,1,1.33333333333333,NA
"11","2016",2,2,0.5,NA
"11","2017",2,1,1,NA
"11","2018",0,1,0.25,NA
"12","2011",0,1,NA,NA
"12","2012",0,1,NA,NA
"12","2013",0,1,NA,NA
"12","2014",0,1,NA,NA
"12","2016",0,1,NA,NA
"12","2017",2,1,Inf,NA
"13","2011",2,1,NA,NA
"13","2012",2,1,1,NA
"13","2013",4,1,2,NA
"13","2014",2,1,0.5,NA
"13","2015",5,1,2.5,NA
"13","2016",0,1,0.1,NA
"14","2011",1,1,NA,NA
"14","2012",0,1,0.5,NA
"14","2013",0,1,NA,NA
"14","2015",0,1,NA,NA
"14","2016",0,1,NA,NA
"14","2017",3,1,Inf,NA
"15","2011",0,1,0.166666666666667,NA
"15","2012",2,1,Inf,NA
"15","2013",4,1,2,NA
"15","2014",2,1,0.5,NA
"15","2015",1,1,0.5,NA
"15","2017",3,2,3,NA
"15","2018",2,1,0.666666666666667,NA
"16","2011",0,1,0.25,NA
"16","2012",1,1,Inf,NA
"16","2013",0,1,0.5,NA
"16","2014",1,1,Inf,NA
"16","2017",0,1,0.5,NA
"16","2018",0,1,NA,NA
"17","2011",4,1,NA,NA
"17","2012",2,1,0.5,NA
"17","2013",5,1,2.5,NA
"17","2016",3,1,0.6,NA
"17","2017",6,1,2,NA
"17","2018",4,1,0.666666666666667,NA
"18","2011",2,1,NA,NA
"18","2012",4,1,2,NA
"18","2013",0,1,0.125,NA
"18","2014",3,1,Inf,NA
"18","2015",2,1,0.666666666666667,NA
"18","2016",17,1,8.5,NA
"18","2017",3,1,0.176470588235294,-0.753327666658612
"18","2018",0,1,0.166666666666667,NA
"19","2011",3,1,NA,NA
"19","2012",0,1,0.166666666666667,NA
"19","2013",0,1,NA,NA
"19","2014",0,1,NA,NA
"19","2016",62,1,Inf,NA
"21","2013",0,1,0.00806451612903226,-2.09342168516224
"21","2014",2,1,Inf,NA
"21","2015",6,1,3,NA
"21","2016",2,1,0.333333333333333,NA
"21","2017",0,1,0.25,NA
"21","2018",1,1,Inf,NA
"22","2011",0,1,0.5,NA
"22","2012",0,1,NA,NA
"22","2013",0,1,NA,NA
"22","2014",0,1,NA,NA
"22","2015",0,1,NA,NA
"22","2016",1,1,Inf,NA
"22","2018",0,1,0.5,NA
"23","2012",0,1,NA,NA
"23","2013",0,1,NA,NA
"23","2014",8,1,Inf,NA
"23","2015",2,1,0.25,NA
"23","2016",0,1,0.25,NA
"23","2017",0,1,NA,NA
"23","2018",1,1,Inf,NA
"24","2013",0,1,0.5,NA
"24","2015",0,1,NA,NA
"24","2016",0,1,NA,NA
"24","2017",3,1,Inf,NA
"24","2018",0,1,0.166666666666667,NA
"25","2012",0,1,NA,NA
"25","2013",2,1,Inf,NA
"25","2017",0,1,0.25,NA
"25","2018",3,1,Inf,NA
"26","2011",4,1,NA,NA
"26","2012",0,1,0.125,NA
"26","2013",0,1,NA,NA
"26","2015",11,1,Inf,NA
"26","2016",6,1,0.545454545454545,-0.263241434774581
"27","2011",0,1,0.0833333333333333,NA
"27","2012",0,1,NA,NA
"27","2013",3,1,Inf,NA
"27","2014",1,1,0.333333333333333,NA
"27","2015",0,1,0.5,NA
"27","2016",13,1,Inf,NA
"27","2017",1,1,0.0769230769230769,-1.11394335230684
"27","2018",0,1,0.5,NA
"28","2011",0,1,NA,NA
"28","2012",0,1,NA,NA
"28","2013",0,1,NA,NA
"28","2014",0,1,NA,NA
"29","2011",0,1,NA,NA
"29","2012",1,1,Inf,NA
"29","2013",0,1,0.5,NA
"29","2014",0,1,NA,NA
"29","2016",0,1,NA,NA
"30","2011",0,1,NA,NA
"30","2012",0,1,NA,NA
"30","2013",0,1,NA,NA
"30","2014",0,1,NA,NA
"30","2015",0,1,NA,NA
"30","2016",1,1,Inf,NA
"30","2017",0,1,0.5,NA
"30","2018",0,1,NA,NA
"31","2012",3,1,NA,NA
"31","2013",0,1,0.166666666666667,NA
"31","2014",0,1,NA,NA
"31","2015",0,1,NA,NA
"31","2016",0,1,NA,NA
"31","2017",0,1,NA,NA
"31","2018",0,1,NA,NA
"32","2011",0,1,NA,NA
"32","2012",0,1,NA,NA
"32","2013",2,1,Inf,NA
"33","2011",0,1,0.25,NA
"33","2012",0,1,NA,NA
"33","2013",0,1,NA,NA
"34","2013",0,1,NA,NA
"35","2011",0,1,NA,NA
"35","2012",0,1,NA,NA
"35","2013",0,1,NA,NA
"35","2014",0,1,NA,NA
"35","2018",0,1,NA,NA
"36","2013",0,1,NA,NA
"36","2016",0,1,NA,NA
"36","2017",0,1,NA,NA
"36","2018",0,1,NA,NA
"38","2011",5,1,NA,NA
"38","2012",28,1,5.6,NA
"38","2014",18,1,0.642857142857143,-0.191885526238913
"38","2016",16,1,0.888888888888889,-0.0511525224473813
"38","2017",4,1,0.25,-0.602059991327962
"38","2018",1,1,0.25,NA
"39","2011",0,1,0.5,NA
"39","2012",3,1,Inf,NA
"39","2018",18,1,6,NA
"40","2014",0,1,0.0277777777777778,-1.55630250076729
"40","2015",1,1,Inf,NA
"41","2011",0,1,0.5,NA
"41","2012",1,1,Inf,NA
"42","2011",0,1,0.5,NA
"42","2012",0,1,NA,NA
"43","2011",0,1,NA,NA
"43","2012",0,1,NA,NA
"43","2017",1,1,Inf,NA
"44","2011",0,1,0.5,NA
"44","2012",0,1,NA,NA
"45","2011",0,1,NA,NA
"45","2012",0,1,NA,NA
"45","2015",0,1,NA,NA
"45","2016",0,1,NA,NA
"46","2011",0,1,NA,NA
"46","2015",0,1,NA,NA
"47","2011",1,1,NA,NA
"47","2012",2,1,2,NA
"48","2011",0,1,0.25,NA
"48","2012",0,1,NA,NA
"49","2011",5,1,NA,NA
"49","2012",0,1,0.1,NA
"49","2014",0,1,NA,NA
"50","2011",0,1,NA,NA
"50","2012",0,1,NA,NA
"50","2014",0,1,NA,NA
"51","2011",0,1,NA,NA
"51","2012",0,1,NA,NA
"51","2014",0,1,NA,NA
"52","2011",0,1,NA,NA
"52","2012",1,1,Inf,NA
"53","2011",0,1,0.5,NA
"53","2012",0,1,NA,NA
"54","2013",0,1,NA,NA
"54","2014",0,1,NA,NA
"54","2015",0,1,NA,NA
"54","2016",0,1,NA,NA
"55","2013",0,1,NA,NA
"55","2014",0,1,NA,NA
"55","2015",0,1,NA,NA
"55","2016",0,1,NA,NA
"56","2011",0,1,NA,NA
"56","2012",0,1,NA,NA
"57","2011",7,1,NA,NA
"57","2012",1,1,0.142857142857143,NA
"57","2014",0,1,0.5,NA
"57","2017",0,1,NA,NA
"58","2011",0,1,NA,NA
"58","2012",0,1,NA,NA
"59","2011",0,1,NA,NA
"59","2012",1,1,Inf,NA
"60","2011",0,1,0.5,NA
"60","2012",1,1,Inf,NA
"60","2014",0,1,0.5,NA
"60","2017",22,1,Inf,NA
"60","2018",13,1,0.590909090909091,-0.228479328515369
"61","2011",2,1,NA,NA
"61","2012",0,1,0.25,NA
"62","2014",1,1,NA,NA
"62","2015",0,1,0.5,NA
"62","2016",10,1,Inf,NA
"Bear Creek Cave","2011",38,1,NA,NA
"Bear Creek Cave","2012",82,1,2.15789473684211,0.334030255766907
"Bear Creek Cave","2013",88,2,1.07317073170732,0.030668819766452
"Bear Creek Cave","2014",98,2,1.11363636363636,0.0467434035423262
"Bear Creek Cave","2015",104,2,1.06122448979592,0.0258072636062855
"Bear Creek Cave","2016",122,2,1.17307692307692,0.0693264913759679
"Bear Creek Cave","2017",38,2,0.311475409836066,-0.506576234057938
"Bear Creek Cave","2018",2,2,0.0526315789473684,-1.27875360095283
"Boscobel Bear","2012",48,1,NA,NA
"Boscobel Bear","2013",84,2,1.75,0.243038048686294
"Boscobel Bear","2014",31,2,0.369047619047619,-0.432917592227609
"Boscobel Bear","2015",63,2,2.03225806451613,0.307978855619309
"Boscobel Bear","2016",86,2,1.36507936507937,0.135157901789986
"Boscobel Bear","2017",39,2,0.453488372093023,-0.343433844217069
"Boscobel Bear","2018",6,2,0.153846153846154,-0.812913356642856
"Dells Culvert","2012",0,1,0.0833333333333333,NA
"Dells Culvert","2013",0,3,NA,NA
"Dells Culvert","2014",0,2,NA,NA
"Dells Culvert","2015",0,2,NA,NA
"Dells Culvert","2016",0,3,NA,NA
"Dells Culvert","2017",0,2,NA,NA
"Dells Culvert","2018",0,2,NA,NA
"Elroy Sparta Tunnel 3","2011",215,1,NA,NA
"Elroy Sparta Tunnel 3","2012",194,1,0.902325581395349,-0.0446367299853793
"Elroy Sparta Tunnel 3","2013",119,3,0.61340206185567,-0.212254768537695
"Elroy Sparta Tunnel 3","2014",81,2,0.680672268907563,-0.167061942513881
"Elroy Sparta Tunnel 3","2015",152,2,1.87654320987654,0.273358569066123
"Elroy Sparta Tunnel 3","2016",109,2,0.717105263157895,-0.144417090004149
"Elroy Sparta Tunnel 3","2017",87,2,0.798165137614679,-0.0979072453220051
"Elroy Sparta Tunnel 3","2018",54,2,0.620689655172414,-0.20712549279565
"Horseshoe Bay Cave","2011",1221,1,NA,NA
"Horseshoe Bay Cave","2012",971,1,0.795249795249795,-0.0994964340368776
"Horseshoe Bay Cave","2013",1175,3,1.21009268795057,0.0828186366997502
"Horseshoe Bay Cave","2014",1448,3,1.23234042553191,0.090730695253373
"Horseshoe Bay Cave","2015",1110,2,0.766574585635359,-0.115445583074471
"Horseshoe Bay Cave","2016",188,2,0.169369369369369,-0.771165129522978
"Horseshoe Bay Cave","2017",10,2,0.0531914893617021,-1.27415784926368
"Horseshoe Bay Cave","2018",32,2,3.2,0.505149978319906
"Joe Stegen","2011",0,1,0.015625,-1.80617997398389
"Joe Stegen","2012",0,1,NA,NA
"Joe Stegen","2013",1,3,Inf,NA
"Joe Stegen","2014",1,3,1,NA
"Joe Stegen","2015",1,2,1,NA
"Joe Stegen","2016",0,2,0.5,NA
"Johnston Pottery ","2011",6,1,NA,NA
"Johnston Pottery ","2012",2,1,0.333333333333333,NA
"Johnston Pottery ","2013",1,3,0.5,NA
"Johnston Pottery ","2014",3,2,3,NA
"Johnston Pottery ","2015",2,2,0.666666666666667,NA
"Johnston Pottery ","2016",0,2,0.25,NA
"Johnston Pottery ","2017",0,2,NA,NA
"Johnston Pottery ","2018",0,2,NA,NA
"LEDGEVIEW","2014",4,2,NA,NA
"LEDGEVIEW","2015",5,2,1.25,NA
"LEDGEVIEW","2016",5,2,1,NA
"LEDGEVIEW","2017",12,2,2.4,NA
"LEDGEVIEW","2018",9,2,0.75,-0.1249387366083
"Maribel New Hope","2011",0,1,0.0555555555555556,NA
"Maribel New Hope","2012",46,2,Inf,NA
"Maribel New Hope","2013",40,2,0.869565217391304,-0.0606978403536117
"Maribel New Hope","2014",74,2,1.85,0.267171728403014
"Maribel New Hope","2015",60,2,0.810810810810811,-0.0910804693473325
"Maribel New Hope","2016",103,3,1.71666666666667,0.234685974321529
"Maribel New Hope","2017",27,2,0.262135922330097,-0.581473460546185
"Maribel New Hope","2018",23,2,0.851851851851852,-0.0696359281413944
"Potowatomi State Park","2012",0,1,0.0217391304347826,-1.66275783168157
"Potowatomi State Park","2013",0,3,NA,NA
"Potowatomi State Park","2014",0,2,NA,NA
"Potowatomi State Park","2015",0,2,NA,NA
"Potowatomi State Park","2016",1,3,Inf,NA
"Potowatomi State Park","2017",1,3,1,NA
"Potowatomi State Park","2018",0,2,0.5,NA
"SOUTH PORTAL","2012",5,1,NA,NA
"SOUTH PORTAL","2013",5,1,1,NA
"SOUTH PORTAL","2014",13,3,2.6,NA
"SOUTH PORTAL","2015",19,2,1.46153846153846,0.164810248645992
"SOUTH PORTAL","2016",40,2,2.10526315789474,0.323306390375133
"SOUTH PORTAL","2017",70,2,1.75,0.243038048686294
"SOUTH PORTAL","2018",70,2,1,0
"St. Johns Mine","2012",218,1,NA,NA
"St. Johns Mine","2013",239,3,1.09633027522936,0.0399414073435328
"St. Johns Mine","2014",223,3,0.933054393305439,-0.030093037899977
"St. Johns Mine","2015",82,2,0.367713004484305,-0.434491010664444
"St. Johns Mine","2016",27,2,0.329268292682927,-0.482450088224729
"St. Johns Mine","2017",5,2,0.185185185185185,-0.732393759822969
"St. Johns Mine","2018",1,2,0.2,NA
"Stampfli","2011",0,1,0.5,NA
"Stampfli","2012",1,1,Inf,NA
"Stampfli","2013",0,2,0.5,NA
"Stampfli","2014",0,2,NA,NA
"Stampfli","2015",3,2,Inf,NA
"Stampfli","2016",12,2,4,NA
"Stampfli","2017",7,2,0.583333333333333,-0.234083206033368
"Stampfli","2018",2,2,0.285714285714286,NA
"Strawberry Blonde","2011",1,1,NA,NA
"Strawberry Blonde","2012",3,1,3,NA
"Strawberry Blonde","2013",7,3,2.33333333333333,NA
"Strawberry Blonde","2014",0,2,0.0714285714285714,NA
"Strawberry Blonde","2015",4,2,Inf,NA
"Strawberry Blonde","2016",5,2,1.25,NA
"Strawberry Blonde","2017",14,2,2.8,NA
"Strawberry Blonde","2018",1,2,0.0714285714285714,-1.14612803567824
"Tunnel City 1 ","2012",1,1,NA,NA
"Tunnel City 1 ","2013",0,2,0.5,NA
"Tunnel City 1 ","2014",1,2,Inf,NA
"Tunnel City 1 ","2015",0,2,0.5,NA
"Tunnel City 1 ","2016",0,2,NA,NA
"Tunnel City 1 ","2017",2,2,Inf,NA
"Tunnel City 1 ","2018",0,2,0.25,NA
"Twin Bluff","2011",0,1,NA,NA
"Twin Bluff","2012",0,1,NA,NA
"Twin Bluff","2013",0,3,NA,NA
"Twin Bluff","2014",0,2,NA,NA
"Twin Bluff","2015",0,2,NA,NA
"Twin Bluff","2016",0,3,NA,NA
"Twin Bluff","2017",0,3,NA,NA
"Twin Bluff","2018",0,2,NA,NA
